sentiments,tweets
IR,@crewislife you want to start the morning later
IR,@crewislife you want to start the morning later
IR,@minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter.
IR,*sigh* You cant love someone that doesn't love you back that's like stalker status . GET a divorce &amp
IR,"Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much ."
IR,"Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much ."
IR,Feeling pain and happiness at the same time. confusing!
IR,Feeling pain and happiness at the same time. How confusing!
IR,"going back to bed, because I'm lookin' around and don't see a reason to be awake atm. Be up in a little."
IR,"going back to bed, because I'm lookin' around and don't see a reason to be awake atm. Be up in a little."
IR,i wantt hiim soo badd !!
IR,i wantt hiim soo badd !!
IR,My mood is currently BLAH . Sitting in a parking lot
IR,Omgaga. Im sooo im gunna CRy. I've been at this dentist since 11 I suposed 2 just get a crown put on (30mins).
IR,Omgaga. Im sooo im gunna CRy. I've been at this dentist since 11 I was suposed 2 just get a crown put on (30mins).
IR,Triiiiiii . ily . even if Chaise doesn't . =D *dies of laughter*
IR,Triiiiiii . ily . even if Chaise doesn't . =D *dies of laughter*
IR,"watching tv , bed, shopping w. mom, out w. trent hopefully, i need my best friend"
IR,"watching tv , bed, shopping w. mom, out w. trent hopefully, i need my best friend"
IR,"- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC 1 x 1920x1080, 2 x 1280x1024"
IR,"- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC 1 x 1920x1080, 2 x 1280x1024"
IR,"- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically, that my last day of work at that job. FML"
IR,"- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically, that was my last day of work at that job. FML"
IR,- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies Btw I'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion
IR,- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies Btw I'm Elliott from @angryfeet - blame @lieT for the Twitter intrusion
IR,"- @EvertB which one? http://bit.ly/10o8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - latter for the US Store only #comics"
IR,"- @EvertB which one? http://bit.ly/10o8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - latter for the US Store only #iphone #comics"
IR,"- @haugern The servers are now backup, if you experience any more problems then please let me know Sorry about the delay."
IR,"- @haugern The servers are now backup, if you experience any more problems then please let me know Sorry about the delay."
IR,- @jerrybattiste &quot
IR,- @jerrybattiste &quot
IR,- @joaoqalves Think again Talvez seja do ênfase na cifra. Mas atenção: &quot
IR,- @joaoqalves Think again Talvez seja do ênfase na cifra. Mas atenção: &quot
IR,- @JuicyJones I know SOLD OUT though.
IR,- @JuicyJones I know SOLD OUT though.
IR,- @kaitymarine - watch E3 @MCMudkips - Will do
IR,- @kaitymarine - watch E3 @MCMudkips - Will do
IR,- @katherineholden Thanks K! Here's hoping! Pretty nervous though.
IR,- @katherineholden Thanks K! Here's hoping! Pretty nervous though.
IR,"- @littlecharva - I'm immune to dentists' drills etc now, it just doesn't bother me at all. Having gum lift surgery next week tho *eek*"
IR,"- @littlecharva - I'm immune to dentists' drills etc now, it just doesn't bother me at all. Having gum lift surgery next week tho *eek*"
IR,- @nibaq Thanks for letting me know. I'm going to check out Eureka later with this knowledge
IR,"- @PoisonGirl10 's up? @sevgli Hey you! @lowridergrl I'm doing ok, thx. You? @cristinerafae You, too! TTYL! @Nic0pic0 Oh, sowwy! lol"
IR,"- @raybooysen I knew Sharepoint written by interns, I just knew it !!"
IR,- @serialseb Always thought time estimates should use 'value of Pi rule' (x 3.14). Only exception being 'Pi squared rule'.
IR,"- @SlashHudson you tease, i wanna hear the tracks!!"
IR,- *cries* I'm going to miss Harry Potter when it comes out. I'm leaving to Vietnam on July 11th. I'm going to cry!!
IR,"- 20 chicken mcnuggets, 2 double cheeseburgers, large fries, and a lemonade for dinner. you may ask? Because I hate my body."
IR,- 400th tweet (!) breakfast: everything bagel toasted w/cream cheese with an iced cap. delish
IR,- All Time Low shall be my motivation for the rest of the week.
IR,- All Time Low shall be my motivation for the rest of the week.
IR,"- going in town todaч with mч cousinnn, [ч] netball match cancelledd"
IR,- I love you guys so much that it hurts. http://tumblr.com/xkh1z19us
IR,- I love you guys so much that it hurts. http://tumblr.com/xkh1z19us
IR,- J + A MADE NiCE. TWiCE! for now
IR,- Longest night ever ugh! http://tumblr.com/xwp1yxhi6
IR,- Longest night ever ugh! http://tumblr.com/xwp1yxhi6
IR,- must people be so picky. I mean 6 hours work and no dice!? �s up with that! http://tumblr.com/xsg1m3ufn
IR,"- Poor lil mousey, just out enjoying the sunny day. I don't think I'd feel so bad if it a big gnarly rat though. Dbl standard? Yep."
IR,- sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8
IR,- sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8
IR,- that explains alot.
IR,- that explains alot.
IR,- Why must people be so picky. I mean 6 hours work and no dice!? what�s up with that! http://tumblr.com/xsg1m3ufn
IR,- You: hi Stranger: HELLO I AM FRANK LAMPARD ARE YOU You: fine You: and urself Stranger: i am gay Your. http://tumblr.com/xaj24dkly
IR,- You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your. http://tumblr.com/xaj24dkly
IR,-- *hummin* I SAY &quot
IR,-- Meet your Meat http://bit.ly/15SSCI
IR,-- Meet your Meat http://bit.ly/15SSCI
IR,-- that's an EPIC sad face.
IR,-- we were standing out in the pouring rain We were sitting on top of the world -- summer sucks --
IR,-- we were standing out in the pouring rain We were sitting on top of the world -- summer sucks --
IR,--- is our response to happened today. and that is all.
IR,: Beach day with Scoobs. =( : Still no
IR,: Beach day with Scoobs. =( : Still no phone.
IR,: it can kill caitlin so caitlin dont eat @apple pie
IR,": Let's have fun,. I give ya I give ya."
IR,": Let's have fun,. When I give ya what I give ya."
IR,":-D )))))))). AN AMAZING NIGHT,DAY &amp; NIGHT AGAIN!! HI TWITS! I MiSS U GUYS"
IR,":-D )))))))).WHAT AN AMAZING NIGHT,DAY &amp; NIGHT AGAIN!! HI TWITS! I MiSS U GUYS"
IR,:[ I don't want to move!!!
IR,:[ I don't want to move!!!
IR,!BYE EVERYONE!
R,. @Apple is the Most Innovative Company of 2014 http://t.co/h4gqjPyluF via @TechCocktail #innovation
IR,. am I feeling worse??? F!!!
IR,". Do I need to even say it? Do I? Well, here I go anyways: CHRIS CORNELL IN CHICAGO! . TONIGHT!"
IR,". Do I need to even say it? Do I? Well, here I go anyways: CHRIS CORNELL IN CHICAGO! . TONIGHT!"
IR,. had weird encounters with so many homeless/creeps on the walk home tonight all by myself awesome. really.
IR,. had weird encounters with so many homeless/creeps on the walk home tonight all by myself awesome. really.
IR,. have to go now ??? 13 more minutes . please please please
IR,. Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!
IR,. Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!
IR,. health class ( a joke!)
IR,. health class (what a joke!)
IR,. hot choco is the best!
IR,. hot choco is the best!
IR,. Rained out truck race
IR,. Rained out truck race
IR,. Why am I feeling worse??? F!!!
R,.@apple has a 40% market share of UK smartphone market - driven by the Iphone 6. Great that over a third of sales were made in Apple stores.
R,".@Apple rules, .@Windows &amp; .@BillGates blow!"
R,.@Apple wants you to stop taking vertical photos: http://t.co/Aw5nUQmzZk via @OutsideMagazine
R,.@codeorg it looks like @Apple is offering a free course on one of their programs - is that the same thing you are seeing? #HourOfCode
R,.@dell ordering a laptop today. about I try @apple or @lenovo instead. Maybe their reps will be kind instead of THIS behavior.
IR,.bueno good bye. good night
IR,.bueno good bye. good night
IR,.lonely night
IR,.that is all.
IR,(: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office. http://tumblr.com/xcn21w6o7
IR,(: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office. http://tumblr.com/xcn21w6o7
IR,(Jonah:s a tweet!?) SHARON!!!!!!!!!!!!
IR,(must i say more?)
